Date,Home Team,Home xG,Away xG,Away Team,Delta_xG
Dec 10,Juventus,2.54,1.1,Pafos,1.44
Dec 9,Kairat,0.2,2.26,Olympiacos,-2.0599999999999996
Dec 9,Saint-Gilloise,0.7,1.54,Marseille,-0.8400000000000001
Dec 9,Atalanta,1.72,1.33,Chelsea,0.3899999999999999
Dec 9,Monaco,3.59,1.18,Galatasaray,2.41
Dec 10,Karabakh,1.08,1.71,Ajax,-0.6299999999999999
Dec 10,Bayer,1.31,2.1,Newcastle,-0.79
Dec 9,PSV,2.62,2.27,Atlético,0.3500000000000001
Dec 10,Borussia D.,3.11,1.35,Bodø-Glimt,1.7599999999999998
Dec 10,Villarreal,2.1,1.44,Copenhagen,0.6600000000000001
Dec 10,Athletic,0.54,2.18,PSG,-1.6400000000000001
Jan 20,Tottenham,2.01,0.35,Borussia D.,1.6599999999999997
Jan 20,Copenhagen,1.44,1.51,Napoli,-0.07000000000000006
Jan 21,Newcastle,2.34,0.32,PSV,2.02
Jan 21,Bayern M.,3.02,0.8,Saint-Gilloise,2.2199999999999998
Jan 21,Chelsea,1.85,0.13,Pafos,1.7200000000000002
Jan 20,Kairat,0.26,2.6,Bruges,-2.34
Jan 20,Inter,1.32,2.24,Arsenal,-0.9200000000000002
Jan 20,Real Madrid,3.84,1.43,Monaco,2.41
Jan 21,Karabakh,1.82,1.24,Eintracht,0.5800000000000001
Jan 20,Bodø-Glimt,1.68,1.17,Man City,0.51
Jan 21,Slavia,1.0,1.68,Barcelona,-0.6799999999999999
Jan 21,Marseille,0.87,1.43,Liverpool,-0.5599999999999999
Jan 21,Atalanta,2.02,1.76,Athletic,0.26
Jan 21,Juventus,1.43,1.33,Benfica,0.09999999999999987
Jan 21,Galatasaray,0.46,1.37,Atlético,-0.9100000000000001
Jan 20,Villarreal,1.39,0.95,Ajax,0.43999999999999995
Jan 20,Sporting,0.94,1.38,PSG,-0.43999999999999995
Jan 20,Olympiacos,1.13,2.55,Bayer,-1.42
